asv,n,prop,ncomp,eta
asv.19906,18,0.72,7,0.6107768013327781
asv.19996,1,0.04,7,0.6107768013327781
asv.19997,1,0.04,7,0.6107768013327781
asv.200,2,0.08,7,0.6107768013327781
asv.20008,7,0.28,7,0.6107768013327781
asv.20011,2,0.08,7,0.6107768013327781
asv.20083,2,0.08,7,0.6107768013327781
asv.20137,1,0.04,7,0.6107768013327781
asv.20306,15,0.6,7,0.6107768013327781
asv.20325,1,0.04,7,0.6107768013327781
asv.20401,8,0.32,7,0.6107768013327781
asv.2049,1,0.04,7,0.6107768013327781
asv.20518,2,0.08,7,0.6107768013327781
asv.2053,1,0.04,7,0.6107768013327781
asv.20592,2,0.08,7,0.6107768013327781
asv.20623,1,0.04,7,0.6107768013327781
asv.20631,2,0.08,7,0.6107768013327781
asv.20632,1,0.04,7,0.6107768013327781
asv.2078,2,0.08,7,0.6107768013327781
asv.2087,3,0.12,7,0.6107768013327781
asv.20933,1,0.04,7,0.6107768013327781
asv.21107,4,0.16,7,0.6107768013327781
asv.21151,13,0.52,7,0.6107768013327781
asv.21173,2,0.08,7,0.6107768013327781
asv.21310,4,0.16,7,0.6107768013327781
asv.21313,18,0.72,7,0.6107768013327781
asv.21315,1,0.04,7,0.6107768013327781
asv.21404,1,0.04,7,0.6107768013327781
asv.21426,2,0.08,7,0.6107768013327781
asv.21431,13,0.52,7,0.6107768013327781
asv.21531,1,0.04,7,0.6107768013327781
asv.21555,1,0.04,7,0.6107768013327781
asv.21568,1,0.04,7,0.6107768013327781
asv.21625,3,0.12,7,0.6107768013327781
asv.21719,1,0.04,7,0.6107768013327781
asv.21814,2,0.08,7,0.6107768013327781
asv.21948,18,0.72,7,0.6107768013327781
asv.21977,1,0.04,7,0.6107768013327781
asv.22096,1,0.04,7,0.6107768013327781
asv.22152,1,0.04,7,0.6107768013327781
asv.22418,2,0.08,7,0.6107768013327781
asv.22439,3,0.12,7,0.6107768013327781
asv.22521,14,0.56,7,0.6107768013327781
asv.22567,1,0.04,7,0.6107768013327781
asv.22711,4,0.16,7,0.6107768013327781
asv.22725,3,0.12,7,0.6107768013327781
asv.22731,17,0.68,7,0.6107768013327781
asv.22738,16,0.64,7,0.6107768013327781
asv.22778,5,0.2,7,0.6107768013327781
asv.22809,2,0.08,7,0.6107768013327781
asv.22814,25,1,7,0.6107768013327781
asv.22816,3,0.12,7,0.6107768013327781
asv.22855,10,0.4,7,0.6107768013327781
asv.22991,2,0.08,7,0.6107768013327781
asv.23052,2,0.08,7,0.6107768013327781
asv.23064,2,0.08,7,0.6107768013327781
asv.23086,18,0.72,7,0.6107768013327781
asv.23121,1,0.04,7,0.6107768013327781
asv.23148,1,0.04,7,0.6107768013327781
asv.2319,6,0.24,7,0.6107768013327781
asv.23306,5,0.2,7,0.6107768013327781
asv.23314,1,0.04,7,0.6107768013327781
asv.2333,5,0.2,7,0.6107768013327781
asv.23381,1,0.04,7,0.6107768013327781
asv.23797,5,0.2,7,0.6107768013327781
asv.23829,10,0.4,7,0.6107768013327781
asv.23831,1,0.04,7,0.6107768013327781
asv.2398,2,0.08,7,0.6107768013327781
asv.2406,5,0.2,7,0.6107768013327781
asv.2423,1,0.04,7,0.6107768013327781
asv.24230,2,0.08,7,0.6107768013327781
asv.24320,24,0.96,7,0.6107768013327781
asv.24350,5,0.2,7,0.6107768013327781
asv.24380,10,0.4,7,0.6107768013327781
asv.24459,9,0.36,7,0.6107768013327781
asv.24549,4,0.16,7,0.6107768013327781
asv.24704,1,0.04,7,0.6107768013327781
asv.24737,1,0.04,7,0.6107768013327781
asv.24764,5,0.2,7,0.6107768013327781
asv.24831,10,0.4,7,0.6107768013327781
asv.24915,1,0.04,7,0.6107768013327781
asv.2492,10,0.4,7,0.6107768013327781
asv.24970,10,0.4,7,0.6107768013327781
asv.25014,1,0.04,7,0.6107768013327781
asv.2512,2,0.08,7,0.6107768013327781
asv.25132,6,0.24,7,0.6107768013327781
asv.25218,8,0.32,7,0.6107768013327781
asv.25386,6,0.24,7,0.6107768013327781
asv.25418,3,0.12,7,0.6107768013327781
asv.25472,12,0.48,7,0.6107768013327781
asv.25483,1,0.04,7,0.6107768013327781
