d,p,c,o,f,g,weight
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.10402758531442922
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.07420607481396146
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.07824089398277327
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.08236527955135363
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Amylibacter,0.08413962762733944
d__Bacteria, p__Dadabacteria, c__Dadabacteriia, o__Dadabacteriales, f__Dadabacteriales, g__Dadabacteriales,0.08409908482260418
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.0813988096502554
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiomicrospirales, f__Thioglobaceae, g__SUP05_cluster,0.16728246473468256
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.0944599376389158
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Lentimonas,0.12263153662806472
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ga0077536, f__Ga0077536, g__Ga0077536,0.06569152632481605
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Rhodopirellula,0.0827119625704864
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.0858195467878744
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Roseobacter_clade_NAC11-7_lineage,0.11286270624778444
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.12053675096406624
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.051896828508305265
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Lentimonas,0.06566891677603377
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__Parahaliea,0.09003086257872465
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.10106703184305674
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.10674204492385128
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.17331690951308082
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.10662797244541072
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.11585028192045012
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Ilumatobacteraceae, g__uncultured,0.0854723446697988
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.08642505282583644
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.1546039939142247
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.0868454035315976
d__Bacteria, p__Desulfobacterota, c__uncultured, o__uncultured, f__uncultured, g__uncultured,0.08455722145583078
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__UBA10353_marine_group, f__UBA10353_marine_group, g__UBA10353_marine_group,0.10949226574969782
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.08965826044515739
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.08710937213967142
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.058215005297046325
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,NA,0.078486563036742
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__MWH-UniP1_aquatic_group, g__MWH-UniP1_aquatic_group,0.1005659983678877
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.08602590497100335
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__SCGC_AAA164-E04,0.0790863256807979
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Thermoplasmata, f__Thermoplasmata, g__Marine_Group_III,0.09965896856634587
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Pseudohongiellaceae, g__Pseudohongiella,0.08514827491993858
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__Rubinisphaeraceae, g__uncultured,0.07631147657773829
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.07687986728956016
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.04666663229746596
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.17173826079108903
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.09349077757058052
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__S25-593, g__S25-593,0.1120456844071353
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__DEV007, g__DEV007,0.08007125032772389
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.13665769609200787
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.08077229871343757
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__DEV007, g__DEV007,0.08848183694410111
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.0935902437498484
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.08163957775297702
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__KI89A_clade, f__KI89A_clade, g__KI89A_clade,0.09446773736135593
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.08227832517711486
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.10919952728453879
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.13751803267549467
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.07759456580347102
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.10103673159193656
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__OM43_clade,0.0971192262130936
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.09128075758145666
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__KI89A_clade, f__KI89A_clade, g__KI89A_clade,0.09634802459203683
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.08746569969416475
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.09797180896284602
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__HOC36, f__HOC36, g__HOC36,0.0751075650385702
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.15227356489033686
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.07985333461155372
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.0782771442779053
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09800524893204056
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.08559543948440237
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.08592461934409834
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__PS1_clade, g__PS1_clade,0.10767856336419511
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.1012068092793521
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.10860319154237223
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.08708570340418946
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.0911807296720869
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09043087694872146
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.08383133021567005
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiomicrospirales, f__Thioglobaceae, g__SUP05_cluster,0.09871322159247516
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Roseobacter_clade_NAC11-7_lineage,0.10543084003130888
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.09174407998530525
d__Bacteria, p__Bdellovibrionota, c__Oligoflexia, o__Oligoflexales, f__uncultured, g__uncultured,0.13395118881467039
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.05954726899466818
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.09493127181589117
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.0707172859871438
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.07522547406420939
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.09753107377421259
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Pseudohongiellaceae, g__Pseudohongiella,0.08665866146654842
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.10566526399034933
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.09819804593602816
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.17870763141437654
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.0804721144222812
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.08532546988808494
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Porticoccaceae, g__SAR92_clade,0.13759269306979222
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Rubripirellula,0.07014268248305933
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured,0.08094488415026455
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.06656791543451658
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Magnetospiraceae, g__uncultured,0.13622244771768005
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae,NA,0.09654087755696311
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.07678950747619347
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__PS1_clade, g__PS1_clade,0.11127557917938524
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.09052917631163353
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__uncultured, f__uncultured, g__uncultured,0.0764078925480772
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.10086081001256064
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.08952137962712847
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,NA,0.09667465592184575
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Pseudoalteromonadaceae, g__Pseudoalteromonas,0.08295152198844444
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Steroidobacterales, f__Woeseiaceae, g__Woeseia,0.0767311224915771
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.07290967475958371
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Planktomarina,0.10087022558282739
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.14940887286921065
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.10172613858420325
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.08711292982700704
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.05824354180267317
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__uncultured,0.13751428351508077
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.0954048896775754
