d,p,c,o,f,g,weight
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__OM182_clade, f__OM182_clade, g__OM182_clade,0.08878959422207072
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.06964776230476422
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_III, g__Clade_III,0.0675520159064431
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group,0.0707880025529105
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.09731130671597447
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Tenacibaculum,0.08334642558693167
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS2b_marine_group,0.07591117302170744
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.091948235812573
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.08046068716844645
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Pseudoalteromonadaceae, g__Pseudoalteromonas,0.12679598521433208
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.08654055884499705
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Blastopirellula,0.10023619664667288
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.08713810448925823
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.06654899564999794
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.10895488251797374
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.0857627438032359
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09205396033689496
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.10571957846676261
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.09670247672555007
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ectothiorhodospirales, f__Ectothiorhodospiraceae, g__uncultured,0.08457277901053356
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.08771696045312802
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.09084063033064935
