d,p,c,o,f,g,weight,coef_estimates
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.013842735142957452,-32.160768399307685
d__Eukaryota, p__MAST-7, c__MAST-7, o__MAST-7, f__MAST-7, g__MAST-7,0.012744797888132642,8.345834085458836
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.004491743178162683,-6.572171187911492
d__Eukaryota, p__Ochrophyta, c__Pelagophyceae, o__Pelagomonadales, f__Pelagomonadales, g__Aureococcus,0.044619017919150405,21.03832996032681
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Telonema,0.027771072979866498,6.211904028767213
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiophyceae, f__Prymnesiophyceae, g__Phaeocystis,0.02554866431795305,6.295036461383647
d__Eukaryota,NA,NA,NA,NA,NA,0.002198167419640409,0.46392516807334006
d__Eukaryota, p__Ochrophyta, c__Pelagophyceae, o__Pelagomonadales, f__Pelagomonadales, g__Aureococcus,0.01108920172881683,-12.624612401193033
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.39906242697418226,85.79444108070699
d__Eukaryota,NA,NA,NA,NA,NA,0.012093016337050563,-1.6316961242146548
d__Eukaryota, p__Ochrophyta, c__Dictyochophyceae, o__Pedinellales, f__Pedinellales, g__Pedinellales,0.006440363327678259,-4.11491835141158
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Peridiniphycidae, f__Thoracosphaeraceae, g__Pentapharsodinium,0.009442356117641928,-6.251559108169115
d__Eukaryota, p__Retaria, c__Acantharia, o__Arthracanthida, f__Arthracanthida, g__Arthracanthida,0.06155225362358068,134.70880977097661
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales,NA,0.050852694925986604,-31.510671386411857
d__Eukaryota, p__Ochrophyta, c__Dictyochophyceae, o__Pedinellales, f__Pedinellales, g__Pedinellales,0.009212536791748193,-10.454759918173757
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.005888900993243166,0.6122216788602604
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_III, g__Clade_III,0.030427303773785667,-10.640989189888888
d__Eukaryota, p__Arthropoda, c__Maxillopoda, o__Calanoida, f__Calanoida, g__Calanoida,0.8098897351460539,41.36641857937102
d__Eukaryota, p__Holozoa, c__Choanoflagellida, o__Acanthoecida, f__Stephanoecidae, g__Marine_Choanoflagellates_1,0.0018493343382535398,-3.221201569857307
d__Eukaryota,NA,NA,NA,NA,NA,0.03988708551117058,32.68675778187827
d__Eukaryota, p__MAST-3, c__MAST-3E, o__MAST-3E, f__MAST-3E, g__MAST-3E,0.005830176513122731,-3.4559481674704937
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.0054037860509413525,-7.587521862060319
d__Eukaryota, p__MAST-3, c__MAST-3J, o__MAST-3J, f__MAST-3J, g__MAST-3J,0.008666400460610664,-5.5252195485558
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales,NA,NA,0.0061756112326343815,-7.429205417071982
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_III, g__Syndiniales_Group_III,0.00834870056585373,-14.806251222947509
d__Eukaryota,NA,NA,NA,NA,NA,0.005928207550868926,7.77309256931723
