d,p,c,o,f,g,weight,coef_estimates
d__Eukaryota, p__MAST-4, c__MAST-4D, o__MAST-4D, f__MAST-4D, g__MAST-4D,0.008003759839156773,4.295136977623559
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.018231879156787284,3.1874328540039367
d__Eukaryota,NA,NA,NA,NA,NA,0.009662015785619305,-3.0904651862100043
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_III, g__Syndiniales_Group_III,0.06956389608958959,41.630545196580265
d__Eukaryota, p__Cercozoa, c__Chlorarachniophyta, o__Chlorarachniophyta, f__Chlorarachniophyta, g__NOR26,0.007036950486998112,7.243307936527694
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.33198225740122017,-84.49622938380871
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae,NA,NA,0.1085418059970741,90.99263318409159
d__Eukaryota, p__Cryptophyceae, c__Cryptophyceae, o__Cryptomonadales, f__Cryptomonadales, g__Geminigera,0.025213154446330155,18.935147481753287
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.30588676650473845,24.164922215532595
d__Eukaryota, p__MAST-1, c__MAST-1B, o__MAST-1B, f__MAST-1B, g__MAST-1B,0.009800433400359977,-5.995313361820026
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.12355562308527392,-79.61694044767998
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.5700360075808852,27.976915521556368
d__Eukaryota, p__MAST-4, c__MAST-4, o__MAST-4, f__MAST-4, g__MAST-4,0.02977084295117825,-48.45020804619604
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.02032119457543339,-24.647759172219274
d__Eukaryota, p__Cryptophyceae, c__Cryptophyceae, o__Cryptomonadales, f__Cryptomonadales, g__Cryptomonadales,0.009288089129719337,6.86137972453445
d__Eukaryota, p__Kathablepharidae, c__Kathablepharidae, o__Kathablepharidae, f__Kathablepharidae, g__Leucocryptos,0.005795996168100111,-1.0476007394334026
d__Eukaryota, p__Ochrophyta,NA,NA,NA,NA,0.022852938753593847,-5.987100657011938
